"id_code","study_type","nature_x","total_sample_size","sample_size_control","mean_control","sd_control","sample_size_treatment","mean_treatment","sd_treatment","effect_type","plant_specie","pesticide_effect","yi","vi"
"C0073","laboratory","categorical",30,15,71.72,56.25,15,20.78,45,"pollination",NA,"sub_lethal",-0.972998177276843,0.149112090883068
"C0073","laboratory","categorical",30,15,71.72,56.25,15,11.41,20.78,"pollination",NA,"sub_lethal",-1.3838366224173,0.165250063292389
"C0073","laboratory","categorical",30,15,71.72,56.25,15,14.37,20.47,"pollination",NA,"sub_lethal",-1.31826432904545,0.162297014020561
"C0074","laboratory","categorical",68,34,91.42,22.04,34,83.09,33.82,"community",NA,"sub_lethal",-0.288496158041086,0.0594355149500328
"C0074","laboratory","categorical",68,34,32.7,16.91,34,19.1,11.08,"community",NA,"sub_lethal",-0.940498909854886,0.0653274867605752
"C0074","laboratory","categorical",68,34,0.42,0.93,34,0.29,0.82,"community",NA,"sub_lethal",-0.146586322503637,0.0589815261025378
"C0091","laboratory","categorical",60,30,714.13,848.75,30,421.6,331.26,"community",NA,"sub_lethal",-0.448163393422566,0.0683404202267003
"C0091","laboratory","categorical",60,30,714.13,848.75,30,407.2,300.92,"community",NA,"sub_lethal",-0.475753005157131,0.068552841015967
"C0091","laboratory","categorical",60,30,714.13,848.75,30,606.4,404.27,"community",NA,"sub_lethal",-0.159952390507827,0.0668798730602431
"C0091","laboratory","categorical",60,30,714.13,848.75,30,305.6,311.54,"community",NA,"sub_lethal",-0.630712447375973,0.0699816515939582
"C0091","laboratory","categorical",60,30,679.2,540.66,30,56,23,"community",NA,"sub_lethal",-1.60747532085113,0.0881998075595453
"C0091","laboratory","categorical",60,30,679.2,540.66,30,147.2,108.94,"community",NA,"sub_lethal",-1.34641581181885,0.0817736294859652
"C0091","laboratory","categorical",60,30,679.2,540.66,30,292.8,134.36,"community",NA,"sub_lethal",-0.968130456219828,0.0744773048355034
"C0091","laboratory","categorical",60,30,679.2,540.66,30,115.2,68.3,"community",NA,"sub_lethal",-1.44460994153408,0.0840574823598259
"C0096","field","categorical",8,4,386.58,150.32,4,357.94,211.18,"pollination","Mangifera spp.","sub_lethal",-0.135724689824817,0.501151324464253
"C0096","field","categorical",8,4,117.41,97.24,4,229.13,48.62,"pollination","Mangifera spp.","sub_lethal",1.26234811755655,0.59959517311866
"C0096","field","categorical",8,4,7224.08,1846.16,4,5979.93,4595.32,"community","Mangifera spp.","sub_lethal",-0.308612837917288,0.50595261773296
"C0096","field","categorical",8,4,496.86,252.92,4,377.58,71.76,"community","Mangifera spp.","sub_lethal",-0.557339905971686,0.519414235674283
"C0098","field","categorical",12,5,6.43,2.68,7,5.21,1.96,"community","mixture","consequences",-0.494725332834338,0.353055190979978
"C0098","field","categorical",12,5,1.66,0.8,7,0.39,0.21,"community","mixture","consequences",-2.20499307748118,0.545440245846306
"C0098","field","categorical",12,5,0.91,0.4,7,0.38,0.24,"community","mixture","consequences",-1.55778496877812,0.443969393230104
"C0141","laboratory","categorical",14,7,47.18,19.61,7,29.5,9.37,"community",NA,"sub_lethal",-1.0767493362025,0.327121040464733
"C0141","laboratory","categorical",14,7,47.18,19.61,7,36.57,7.06,"community",NA,"sub_lethal",-0.673808487598684,0.301929209927144
"C0141","laboratory","categorical",14,7,47.18,19.61,7,15.02,4.58,"community",NA,"sub_lethal",-2.11382583545236,0.445294987950923
"C0144","field","categorical",10,4,628.07,618.24,6,287.05,222.34,"pollination","Citrullus lanatus","sub_lethal",-0.737503052333916,0.443862204276759
"C0144","field","categorical",10,4,3.98,0.84,6,3.59,1.49,"community","Citrullus lanatus","consequences",-0.273894475831351,0.420417575861213
"C0144","field","categorical",10,4,30.85,33.18,6,24.16,16.09,"community","Citrullus lanatus","consequences",-0.251924561843531,0.419839965909669
"C0151","laboratory","categorical",20,10,7.58,3.42,10,7.29,1.9,"pollination",NA,"sub_lethal",-0.100387966976403,0.200251943597841
"C0151","laboratory","categorical",20,10,7.58,3.42,10,10.26,2.56,"pollination",NA,"sub_lethal",0.849617697402525,0.218046255793489
"C0151","laboratory","categorical",20,10,7.58,3.42,10,7.78,2.41,"pollination",NA,"sub_lethal",0.0647403929561945,0.200104782962003
"C0151","laboratory","categorical",20,10,7.58,3.42,10,6.11,3.08,"pollination",NA,"sub_lethal",-0.432559487824576,0.204677692762676
"C0151","laboratory","categorical",20,10,7.58,3.42,10,1.73,1.21,"pollination",NA,"sub_lethal",-2.18393577140241,0.319239386340276
"C0151","laboratory","categorical",20,10,19.44,9.93,10,20.35,7.22,"community",NA,"sub_lethal",0.100382262321966,0.200251914964722
"C0151","laboratory","categorical",20,10,19.44,9.93,10,25.9,7.78,"community",NA,"sub_lethal",0.693541053775332,0.212024979831795
"C0151","laboratory","categorical",20,10,19.44,9.93,10,18.47,8.06,"community",NA,"sub_lethal",-0.102716943836882,0.20026376926378
"C0151","laboratory","categorical",20,10,19.44,9.93,10,10.55,6.88,"community",NA,"sub_lethal",-0.996634282433348,0.224831997323036
"C0151","laboratory","categorical",20,10,19.44,9.93,10,1.94,2.99,"community",NA,"sub_lethal",-2.28540475807271,0.330576872705535
"C0161","field","categorical",18,9,165,93,9,158,99,"community","Triticum ssp.","consequences",-0.0694012963719819,0.222356014998281
"C0161","field","categorical",18,9,27,9,9,25,6,"community","Triticum ssp.","consequences",-0.249003122336459,0.223944515414814
"C0161","field","categorical",18,9,0.8,0.06,9,0.85,0.06,"community","Triticum ssp.","consequences",0.79354486233696,0.239714262459483
"C0177","field","categorical",36,18,17.11,9.42,18,15.46,13.45,"community","Triticum ssp.","consequences",-0.138942648595375,0.111379236938871
"C0177","field","categorical",36,18,6.18,6.96,18,5.97,9.55,"community","Triticum ssp.","consequences",-0.0245725881427075,0.111119497390112
"C0177","field","categorical",36,18,42.13,42.72,18,31.73,19.22,"community","Triticum ssp.","consequences",-0.306985364930098,0.112420000198351
"C0177","field","categorical",36,18,55.17,57.87,18,38.59,60.75,"community","Triticum ssp.","consequences",-0.27324771607394,0.112148115476939
"C0177","field","categorical",36,18,3.78,1.32,18,3.56,1.23,"community","Triticum ssp.","consequences",-0.168604854303337,0.111505938845759
"C0177","field","categorical",36,18,2.89,1.74,18,2.11,2.04,"community","Triticum ssp.","consequences",-0.402251083323057,0.11335841575048
"C0177","field","categorical",36,18,10.54,6.83,18,9.62,5.01,"community","Triticum ssp.","consequences",-0.150183701386831,0.111424377002253
"C0177","field","categorical",36,18,13.64,10.78,18,10.4,10.39,"community","Triticum ssp.","consequences",-0.299232230186445,0.112354721216422
"C0180","laboratory","categorical",147,73,1.75,1.88,74,1.72,1.89,"community",NA,"sub_lethal",-0.0158322885121095,0.0272129962401581
"C0180","laboratory","categorical",144,73,1.75,1.88,71,0.96,1.35,"community",NA,"sub_lethal",-0.479077200760289,0.0285800641385742
"C0189","laboratory","categorical",180,90,0.73,0.47,90,0.42,0.47,"pollination",NA,"sub_lethal",-0.656790800197908,0.0234204837645128
"C0189","laboratory","categorical",180,90,0.73,0.47,90,0.48,0.47,"pollination",NA,"sub_lethal",-0.529670000159603,0.023001528636303
"C0189","laboratory","categorical",180,90,0.49,0.47,90,0.3,0.47,"pollination",NA,"sub_lethal",-0.402549200121298,0.0226723496069953
"C0189","laboratory","categorical",180,90,0.49,0.47,90,0.39,0.47,"pollination",NA,"sub_lethal",-0.211868000063841,0.0223469112484751
"C0189","laboratory","categorical",180,90,0.32,0.47,90,0.07,0.19,"pollination",NA,"sub_lethal",-0.694467089999435,0.0235619014974786
"C0189","laboratory","categorical",180,90,0.67,0.47,90,0.59,0.57,"pollination",NA,"sub_lethal",-0.152493539251161,0.0222868174430926
"C0197","field ","categorical",18,8,2.9,1.98,10,3.5,2.53,"community","Prunus dulcis","consequences",0.2478132453159,0.226705872348722
"C2003","field","categorical",8,4,85.5,131,4,57.5,111,"community","Brassica napus","consequences",-0.200321575317654,0.502508045846109
"C2019","laboratory","categorical",40,20,1600,447.21,20,1320,223.61,"pollination",NA,"sub_lethal",-0.77621060627116,0.107531286316098
"C2019","laboratory","categorical",40,20,1600,447.21,20,4320,2414.95,"pollination",NA,"sub_lethal",1.53507268372499,0.129455601803983
"C2019","laboratory","categorical",40,20,1111.11,479.37,20,1267.97,257.24,"pollination",NA,"sub_lethal",0.399650000149764,0.101996501532746
"C2019","laboratory","categorical",40,20,1111.11,479.37,20,562.09,409.2,"pollination",NA,"sub_lethal",-1.20740104017586,0.118222715897722
"C2020","laboratory","categorical",10,5,43.2,25,5,12.2,8.5,"community",NA,"sub_lethal",-1.49874406567031,0.512311688719098
"C2020","laboratory","categorical",10,5,2.36,1.2,5,0.91,0.3,"community",NA,"sub_lethal",-1.49651933044633,0.511978505319976
"C2020","laboratory","categorical",10,5,0.27,0.02,5,0.14,0.09,"community",NA,"sub_lethal",-1.80008881583859,0.562015987245359
