id_code;study_type;nature_x;total_sample_size;sample_size_control;mean_control;sd_control;sample_size_treatment;mean_treatment;sd_treatment;effect_type;plant_species;pesticide_effect;yi;vi;statistic;value;country;sampling_method;farm_type;pesticide_applied;exposure_type;bee_specie
C0073;laboratory;categorical;30;15;71.72;56.25;15;20.78;45;pollination;NA;sub_lethal;-0.97299818;0.14911209;NA;NA;brazil;directly_from_the_colony;NA;imidacloroprid;orally;melipona_quadrifasciata
C0073;laboratory;categorical;30;15;71.72;56.25;15;11.41;20.78;pollination;NA;sub_lethal;-1.38383662;0.16525006;NA;NA;brazil;directly_from_the_colony;NA;imidacloroprid;orally;melipona_quadrifasciata
C0073;laboratory;categorical;30;15;71.72;56.25;15;14.37;20.47;pollination;NA;sub_lethal;-1.31826433;0.16229701;NA;NA;brazil;directly_from_the_colony;NA;imidacloroprid;orally;melipona_quadrifasciata
C0074;laboratory;categorical;68;34;91.42;22.04;34;83.09;33.82;community;NA;sub_lethal;-0.28849616;0.05943551;NA;NA;usa;directly_from_the_colony;NA;imidacloroprid;orally;osmia_lignaria
C0074;laboratory;categorical;68;34;32.7;16.91;34;19.1;11.08;community;NA;sub_lethal;-0.94049891;0.06532749;NA;NA;usa;directly_from_the_colony;NA;imidacloroprid;orally;osmia_lignaria
C0074;laboratory;categorical;68;34;0.42;0.93;34;0.29;0.82;community;NA;sub_lethal;-0.14658632;0.05898153;NA;NA;usa;directly_from_the_colony;NA;imidacloroprid;orally;osmia_lignaria
C0091;laboratory;categorical;60;30;714.13;848.75;30;421.6;331.26;community;NA;sub_lethal;-0.44816339;0.06834042;NA;NA;brazil;directly_from_the_colony;NA;picloram;topically;melipona_scutellaris
C0091;laboratory;categorical;60;30;714.13;848.75;30;407.2;300.92;community;NA;sub_lethal;-0.47575301;0.06855284;NA;NA;brazil;directly_from_the_colony;NA;2.4-D;topically;melipona_scutellaris
C0091;laboratory;categorical;60;30;714.13;848.75;30;606.4;404.27;community;NA;sub_lethal;-0.15995239;0.06687987;NA;NA;brazil;directly_from_the_colony;NA;gliphosate;topically;melipona_scutellaris
C0091;laboratory;categorical;60;30;714.13;848.75;30;305.6;311.54;community;NA;sub_lethal;-0.63071245;0.06998165;NA;NA;brazil;directly_from_the_colony;NA;gliphosate_2.4-D;topically;melipona_scutellaris
C0091;laboratory;categorical;60;30;679.2;540.66;30;56;23;community;NA;sub_lethal;-1.60747532;0.08819981;NA;NA;brazil;directly_from_the_colony;NA;picloram;orally;melipona_scutellaris
C0091;laboratory;categorical;60;30;679.2;540.66;30;147.2;108.94;community;NA;sub_lethal;-1.34641581;0.08177363;NA;NA;brazil;directly_from_the_colony;NA;2.4-D;orally;melipona_scutellaris
C0091;laboratory;categorical;60;30;679.2;540.66;30;292.8;134.36;community;NA;sub_lethal;-0.96813046;0.0744773;NA;NA;brazil;directly_from_the_colony;NA;gliphosate;orally;melipona_scutellaris
C0091;laboratory;categorical;60;30;679.2;540.66;30;115.2;68.3;community;NA;sub_lethal;-1.44460994;0.08405748;NA;NA;brazil;directly_from_the_colony;NA;gliphosate_2.4-D;orally;melipona_scutellaris
C0096;field;categorical;8;4;386.58;150.32;4;357.94;211.18;pollination;Mangifera_spp.;sub_lethal;-0.13572469;0.50115132;NA;NA;mexico;video_record;monoculture;GF-120;topically;apis_mellifera
C0096;field;categorical;8;4;117.41;97.24;4;229.13;48.62;pollination;Mangifera_spp.;sub_lethal;1.26234812;0.59959517;NA;NA;mexico;video_record;monoculture;GF-120;topically;scaptotrigona_mexicana
C0096;field;categorical;8;4;7224.08;1846.16;4;5979.93;4595.32;community;Mangifera_spp.;sub_lethal;-0.30861284;0.50595262;NA;NA;mexico;video_record;monoculture;GF-120;topically;apis_mellifera
C0096;field;categorical;8;4;496.86;252.92;4;377.58;71.76;community;Mangifera_spp.;sub_lethal;-0.55733991;0.51941424;NA;NA;mexico;video_record;monoculture;GF-120;topically;scaptotrigona_mexicana
C0141;laboratory;categorical;14;7;47.18;19.61;7;29.5;9.37;community;NA;sub_lethal;-1.07674934;0.32712104;NA;NA;canada;directly_from_the_colony;NA;spinosad;orally;bombus_impatiens
C0141;laboratory;categorical;14;7;47.18;19.61;7;36.57;7.06;community;NA;sub_lethal;-0.67380849;0.30192921;NA;NA;canada;directly_from_the_colony;NA;spinosad;orally;bombus_impatiens
C0141;laboratory;categorical;14;7;47.18;19.61;7;15.02;4.58;community;NA;sub_lethal;-2.11382584;0.44529499;NA;NA;canada;directly_from_the_colony;NA;spinosad;orally;bombus_impatiens
C0144;field;categorical;10;4;628.07;618.24;6;287.05;222.34;pollination;Citrullus_lanatus;sub_lethal;-0.73750305;0.4438622;NA;NA;usa;observation;polyculture;mixture;NA;NA
C0151;laboratory;categorical;20;10;7.58;3.42;10;7.29;1.9;pollination;NA;sub_lethal;-0.10038797;0.20025194;NA;NA;usa;directly_from_the_colony;NA;acetamiprid;orally;bombus_impatiens
C0151;laboratory;categorical;20;10;7.58;3.42;10;10.26;2.56;pollination;NA;sub_lethal;0.8496177;0.21804626;NA;NA;usa;directly_from_the_colony;NA;acetamiprid;orally;bombus_impatiens
C0151;laboratory;categorical;20;10;7.58;3.42;10;7.78;2.41;pollination;NA;sub_lethal;0.06474039;0.20010478;NA;NA;usa;directly_from_the_colony;NA;acetamiprid;orally;bombus_impatiens
C0151;laboratory;categorical;20;10;7.58;3.42;10;6.11;3.08;pollination;NA;sub_lethal;-0.43255949;0.20467769;NA;NA;usa;directly_from_the_colony;NA;acetamiprid;orally;bombus_impatiens
C0151;laboratory;categorical;20;10;7.58;3.42;10;1.73;1.21;pollination;NA;sub_lethal;-2.18393577;0.31923939;NA;NA;usa;directly_from_the_colony;NA;acetamiprid;orally;bombus_impatiens
C0151;laboratory;categorical;20;10;19.44;9.93;10;20.35;7.22;community;NA;sub_lethal;0.10038226;0.20025191;NA;NA;usa;directly_from_the_colony;NA;acetamiprid;orally;bombus_impatiens
C0151;laboratory;categorical;20;10;19.44;9.93;10;25.9;7.78;community;NA;sub_lethal;0.69354105;0.21202498;NA;NA;usa;directly_from_the_colony;NA;acetamiprid;orally;bombus_impatiens
C0151;laboratory;categorical;20;10;19.44;9.93;10;18.47;8.06;community;NA;sub_lethal;-0.10271694;0.20026377;NA;NA;usa;directly_from_the_colony;NA;acetamiprid;orally;bombus_impatiens
C0151;laboratory;categorical;20;10;19.44;9.93;10;10.55;6.88;community;NA;sub_lethal;-0.99663428;0.224832;NA;NA;usa;directly_from_the_colony;NA;acetamiprid;orally;bombus_impatiens
C0151;laboratory;categorical;20;10;19.44;9.93;10;1.94;2.99;community;NA;sub_lethal;-2.28540476;0.33057687;NA;NA;usa;directly_from_the_colony;NA;acetamiprid;orally;bombus_impatiens
C0180;laboratory;categorical;147;73;1.75;1.88;74;1.72;1.89;community;NA;sub_lethal;-0.01583229;0.027213;NA;NA;usa;directly_from_the_colony;NA;imidacloroprid;orally;bombus_impatiens
C0180;laboratory;categorical;144;73;1.75;1.88;71;0.96;1.35;community;NA;sub_lethal;-0.4790772;0.02858006;NA;NA;usa;directly_from_the_colony;NA;imidacloroprid;orally;bombus_impatiens
C0189;laboratory;categorical;180;90;0.73;0.47;90;0.42;0.47;pollination;NA;sub_lethal;-0.6567908;0.02342048;NA;NA;china;directly_from_the_colony;NA;imidacloroprid;orally;bombus_impatiens
C0189;laboratory;categorical;180;90;0.73;0.47;90;0.48;0.47;pollination;NA;sub_lethal;-0.52967;0.02300153;NA;NA;china;directly_from_the_colony;NA;imidacloroprid;orally;bombus_impatiens
C0189;laboratory;categorical;180;90;0.49;0.47;90;0.3;0.47;pollination;NA;sub_lethal;-0.4025492;0.02267235;NA;NA;china;directly_from_the_colony;NA;imidacloroprid;orally;bombus_impatiens
C0189;laboratory;categorical;180;90;0.49;0.47;90;0.39;0.47;pollination;NA;sub_lethal;-0.211868;0.02234691;NA;NA;china;directly_from_the_colony;NA;imidacloroprid;orally;bombus_impatiens
C0189;laboratory;categorical;180;90;0.32;0.47;90;0.07;0.19;pollination;NA;sub_lethal;-0.69446709;0.023561901;NA;NA;china;directly_from_the_colony;NA;imidacloroprid;orally;bombus_impatiens
C0189;laboratory;categorical;180;90;0.67;0.47;90;0.59;0.57;pollination;NA;sub_lethal;-0.15249354;0.02228682;NA;NA;china;directly_from_the_colony;NA;imidacloroprid;orally;bombus_impatiens
C0143;field;continuous;22;9;NA;NA;13;NA;NA;pollination;Citrullus_lanatus;sub_lethal;-1.33;0.21;t;3.19;usa;observation;monoculture;NA;NA;NA
C2019;laboratory;categorical;40;20;1600;447.21;20;1320;223.61;pollination;NA;sub_lethal;-0.77621061;0.10753129;NA;NA;brazil;directly_from_the_colony;NA;mixture;orally;partamona_heleri
C2019;laboratory;categorical;40;20;1600;447.21;20;4320;2414.95;pollination;NA;sub_lethal;1.53507268;0.1294556;NA;NA;brazil;directly_from_the_colony;NA;mixture;orally;partamona_heleri
C2019;laboratory;categorical;40;20;1111.11;479.37;20;1267.97;257.24;pollination;NA;sub_lethal;0.39965;0.1019965;NA;NA;brazil;directly_from_the_colony;NA;mixture;orally;partamona_heleri
C2019;laboratory;categorical;40;20;1111.11;479.37;20;562.09;409.2;pollination;NA;sub_lethal;-1.20740104;0.11822272;NA;NA;brazil;directly_from_the_colony;NA;mixture;orally;partamona_heleri
C2020;field;categorical;10;5;43.2;25;5;12.2;8.5;community;Avena_barbata;sub_lethal;-1.49874407;0.51231169;NA;NA;usa;directly_from_the_colony;monoculture;chlorothalonil ;NA;bombus_impatiens
C2020;field;categorical;10;5;2.36;1.2;5;0.91;0.3;community;Avena_barbata;sub_lethal;-1.49651933;0.51197851;NA;NA;usa;directly_from_the_colony;monoculture;chlorothalonil ;NA;bombus_impatiens
C2020;field;categorical;10;5;0.27;0.02;5;0.14;0.09;community;Avena_barbata;sub_lethal;-1.80008882;0.56201599;NA;NA;usa;directly_from_the_colony;monoculture;chlorothalonil ;NA;bombus_impatiens
